,Titteli,Työnantaja,Sijainti,Linkki,Julkaistu
55,Osa-aikaisia myyjiä Alkon joulusesonkiin,Alko Oy,Helsinki ja 6 muuta,duunitori.fi/tyopaikat/tyo/alko-osa-aikaisia-myyjia-alkon-joulusesonkiin-helsinki-sdsuu-12432143,Julkaistu 14.9.
56,Myynninedistäjäsijainen Pirkanmaan alueelle,Fazer,Tampere,duunitori.fi/tyopaikat/tyo/myynninedistajasijainen-pirkanmaan-alueelle-sfsaz-12432942,Julkaistu 14.9.
57,Yritysmyyjäksi Elisalle Tampereelle,Barona,Tampere,duunitori.fi/tyopaikat/tyo/yritysmyyjaksi-elisalle-tampereelle-sbsar-12431997,Julkaistu 14.9.
58,"Myyntineuvottelija vakuutusmyyntiin, Tampereen Toteemi, Tampere",Rainmaker,Tampere,duunitori.fi/tyopaikat/tyo/myyntineuvottelija-tampereen-toteemi-tampere-srsai-12401219,Julkaistu 14.9.
59,"Myyjiä uudelle Oomi Energialle, täysi- ja osa-aikainen, Tampere",Rainmaker,Tampere,duunitori.fi/tyopaikat/tyo/uusia-puhelinmyyjia-uudelle-oomi-energialle-tampere-srsai-12033343,Julkaistu 14.9.
60,"Osa-aikaikaisia myyjiä joulusesonkiin, Tampereen seutu",Alko,Tampere,duunitori.fi/tyopaikat/tyo/osa-aikaikaisia-myyjia-joulusesonkiin-tampereen-seutu-saslk-12432837,Julkaistu 13.9.
61,"Palvelumyyjä, Kokoaikainen, Tampere",Lokki Henkilöstöpalvelut Oy,Tampere,duunitori.fi/tyopaikat/tyo/palvelumyyja-kokoaikainen-tampere-slsok-12387425,Julkaistu 13.9.
62,Asiakaspalvelija,Evidensia Eläinlääkäripalvelut Oy,Tampere,duunitori.fi/tyopaikat/tyo/asiakaspalvelija-stse-12429300,Julkaistu 11.9.
63,"Myymälätyöntekijä, Lukkoluket Oy (Tampere)",Lukkoluket Oy / Alen Consulting Oy,Tampere,duunitori.fi/tyopaikat/tyo/myymalatyontekija-tampere-stse-12429011,Julkaistu 11.9.
64,Myyjä,"Anvol Oy, XS-lelut",Tampere,duunitori.fi/tyopaikat/tyo/myyja-stse-12428999,Julkaistu 11.9.
65,Kioskimyyjä,MW Motor Sports,Tampere,duunitori.fi/tyopaikat/tyo/kioskimyyja-stse-12428056,Julkaistu 11.9.
66,"Yritysmyyjä, Telia B2B",Soldem,Tampere,duunitori.fi/tyopaikat/tyo/suomen-telecenter-yritysmyyja-telia-b2b-tampere-sdsuu-12427923,Julkaistu 11.9.
67,Yhteyspäällikkö,Suomen Diabetesliitto ry,Tampere,duunitori.fi/tyopaikat/tyo/yhteyspaallikko-tampere-sdsuu-12407233,Julkaistu 11.9.
68,Huoltamokahvilatyöntekijä Shell Pirkanmaa,Barona,Tampere,duunitori.fi/tyopaikat/tyo/huoltamokahvilatyontekija-shell-pirkanmaa-sbsar-12427211,Julkaistu 11.9.
69,Kauppa-apulainen,TOTAL-Henkilöstöpalvelut Oy,Tampere,duunitori.fi/tyopaikat/tyo/kauppa-apulainen-stse-12425490,Julkaistu 10.9.
70,Kaupan alan työntekijä (Pirkanmaa),Alen Consulting Oy,Tampere,duunitori.fi/tyopaikat/tyo/kaupan-alan-tyontekija-pirkanmaa-stse-12425489,Julkaistu 10.9.
71,Ratkaisumyyjä,Havunen Consulting,Tampere,duunitori.fi/tyopaikat/tyo/ratkaisumyyja-tampere-sdsuu-12424937,Julkaistu 10.9.
72,"Asiakaspalvelijaksi Tampereelle, kokoaikainen",Koti Puhtaaksi Oy,Tampere,duunitori.fi/tyopaikat/tyo/asiakaspalvelijaksi-tampereelle-kokoaikainen-stse-12420471,Julkaistu 9.9.
73,Aurinkopaneelimyyjä,Power Applications Finland Oy,Tampere,duunitori.fi/tyopaikat/tyo/aurinkopaneelimyyja-stse-12421966,Julkaistu 9.9.
74,Myyjä,Motokeidas Oy,Tampere,duunitori.fi/tyopaikat/tyo/myyja-stse-12420483,Julkaistu 9.9.
75,"Ohjelmistomyyjä, Kokoaikainen, Tampere",Lokki Henkilöstöpalvelut Oy,Tampere,duunitori.fi/tyopaikat/tyo/ohjelmistomyyja-kokoaikainen-tampere-slsok-12425007,Julkaistu 9.9.
76,"Myyjä, ammattilaisurheilun yritysmyynti",Eezy,Tampere,duunitori.fi/tyopaikat/tyo/myyja-ammattilaisurheilun-yritysmyynti-sssmi-11820416,Julkaistu 9.9.
77,Asiakaspalvelija,HL-Family Oy,Tampere,duunitori.fi/tyopaikat/tyo/asiakaspalvelija-stse-12418649,Julkaistu 8.9.
78,Asiakaspalvelumyyjä,Kotisol Oy,Tampere,duunitori.fi/tyopaikat/tyo/asiakaspalvelumyyja-stse-12418711,Julkaistu 8.9.
79,Myyjä,Puuilo Oy,Tampere,duunitori.fi/tyopaikat/tyo/myyjia-stse-12417657,Julkaistu 8.9.
80,Myyjä,Glitter Oy,Tampere,duunitori.fi/tyopaikat/tyo/myyja-stse-12418696,Julkaistu 8.9.
81,"Myyntineuvottelija vakuutusalalle, määräaikainen työ tarpeesi mukaan",Soldem,Tampere,duunitori.fi/tyopaikat/tyo/suomen-telecenter-myyntineuvottelija-vakuutusalalle-maaraaikainen-tyo-tarpeesi-mukaan-tampere-sdsuu-12418017,Julkaistu 8.9.
82,Kalustemyyjä Tampereen Topi-myymälään,Topi-Keittiöt Oy,Tampere,duunitori.fi/tyopaikat/tyo/kalustemyyja-tampereen-topi-myymalaan-tampere-sdsuu-12417226,Julkaistu 8.9.
83,Myyntineuvottelija aikakauslehtien etämyyntiin,Sanoma Media Finland Oy,Tampere,duunitori.fi/tyopaikat/tyo/sanoma-media-finland-myyntineuvottelija-aikakauslehtien-etamyyntiin-finland-sdsuu-12413347,Julkaistu 8.9.
84,"Myyjä, S-market Hyhky, Tampere",PIRKANMAAN OSUUSKAUPPA,Tampere,duunitori.fi/tyopaikat/tyo/myyja-s-market-hyhky-tampere-sss-r-12417921,Julkaistu 8.9.
85,Kassa-/osastotyöntekijä,JEP Henkilöstöratkaisut Oy,Tampere,duunitori.fi/tyopaikat/tyo/kassa-osastotyontekija-stse-12416648,Julkaistu 7.9.
86,Myyjä,Bella Luna Oy,Tampere,duunitori.fi/tyopaikat/tyo/myyja-stse-12416652,Julkaistu 7.9.
